rank,name,role,goals,pens,assist,minutes,matches
28,Dino BAGGIO,MF,2,0,0,560,7
29,Iordan LETCHKOV,MF,2,0,0,616,7
30,Harold LOZANO,MF,1,0,0,12,1
31,Txiki BEGUIRISTAIN,FW,1,1,0,29,1
32,Fahad AL GHESHEYAN,FW,1,0,0,47,2
33,Roger MILLA,FW,1,0,0,71,2
34,John ALDRIDGE,FW,1,0,0,87,3
35,Hassan NADER,FW,1,0,0,90,1
36,Kjetil REKDAL,MF,1,0,0,111,3
37,Gaston TAUMENT,FW,1,0,0,131,3
38,SEO Jung Won,FW,1,0,0,141,3
39,Pep GUARDIOLA,MF,1,1,0,145,2
40,Karlheinz RIEDLE,FW,1,0,0,150,2
41,Herman GAVIRIA,MF,1,0,0,168,2
42,Sami AL JABER,FW,1,1,0,169,2
43,Mohammed CHAOUCH,FW,1,0,0,172,2
44,Diego MARADONA,MF,1,0,0,173,2
45,Henrik LARSSON,FW,1,0,0,191,5
46,Dmitri RADCHENKO,FW,1,0,0,193,3
47,David EMBE,FW,1,0,0,193,3
48,Eric WYNALDA,FW,1,0,0,194,4
49,Marc DE GRIJSE,FW,1,0,0,203,3
50,Daniel BORIMIROV,MF,1,0,0,214,4
51,Samson SIASIA,FW,1,0,0,215,3
52,Alain SUTTER,MF,1,0,0,242,3
53,Bryan ROY,FW,1,0,0,250,5
54,Earnie STEWART,FW,1,0,0,261,4
55,Aron WINTER,MF,1,0,0,270,3
56,Erwin SANCHEZ,MF,1,0,0,270,3
57,HWANG Sun Hong,FW,1,0,0,270,3
58,Francois OMAM-BIYIK,FW,1,0,0,270,3
59,Georges GRUN,DF,1,0,0,270,3
60,JULIO SALINAS,FW,1,0,0,273,4
61,BRANCO,DF,1,0,0,300,3
62,Alberto GARCIA ASPE,MF,1,1,0,300,3
63,RAI,MF,1,1,0,309,5
64,Said AL OWAIRAN,FW,1,0,0,312,4
65,Marcelino BERNAL,MF,1,0,0,319,4
66,Fernando HIERRO,DF,1,0,0,327,5
67,Abel BALBO,FW,1,0,0,330,4
68,Hakan MILD,MF,1,0,0,335,5
69,Ray HOUGHTON,MF,1,0,0,338,4
70,Stephane CHAPUISAT,FW,1,0,0,360,4
71,LUIS ENRIQUE,MF,1,0,0,360,4
72,Georges BREGY,MF,1,0,0,360,4
73,Rasheed YEKINI,FW,1,0,0,368,4
74,Finidi GEORGE,FW,1,0,0,370,4
75,Lothar MATTHAEUS,MF,1,1,0,379,5
76,Daniele MASSARO,FW,1,0,0,442,6
77,Dan PETRESCU,DF,1,0,0,480,5
78,Nasko SIRAKOV,FW,1,0,0,540,7
79,Roger LJUNG,DF,1,0,0,570,6
80,MARCIO SANTOS,DF,1,0,0,660,7
1,Salvatore SCHILLACI,FW,6,1,0,534,7
2,Tomas SKUHRAVY,FW,5,0,0,450,5
3,Roger MILLA,FW,4,0,0,162,4
4,MICHEL,MF,4,1,0,390,4
5,Lothar MATTHAEUS,MF,4,1,0,660,7
6,Gary LINEKER,FW,4,2,0,713,7
7,David PLATT,MF,3,0,0,408,6
8,Rudi VOELLER,FW,3,0,0,420,6
9,Andreas BREHME,DF,3,1,0,570,6
10,Juergen KLINSMANN,FW,3,0,0,629,7
11,Darko PANCEV,FW,2,0,0,182,3
12,Bernardo REDIN,MF,2,0,0,209,3
13,Gavril BALINT,FW,2,0,0,229,4
14,Marius LACATUS,FW,2,1,0,267,3
15,MULLER,FW,2,0,0,295,4
16,CARECA,FW,2,0,0,353,4
17,Roberto BAGGIO,FW,2,0,0,376,5
18,Michal BILEK,DF,2,2,0,427,5
19,Davor JOZIC,DF,2,0,0,510,5
20,Dragan STOJKOVIC,MF,2,0,0,510,5
21,Claudio CANIGGIA,FW,2,0,0,555,6
22,Eugene EKEKE,FW,1,0,0,0,0
23,Milan LUHOVY,FW,1,0,0,14,1
24,Pablo BENGOECHEA,MF,1,0,0,34,1
25,Hernan MEDFORD,FW,1,0,0,79,3
26,Aldo SERENA,FW,1,0,0,108,3
27,Glenn STROMBERG,MF,1,0,0,116,3
28,Daniel FONSECA,FW,1,0,0,118,2
29,Johnny EKSTROM,FW,1,0,0,118,2
30,Patrick VERVOORT,DF,1,0,0,120,3
31,Wim KIEFT,FW,1,0,0,163,4
32,Robert PROSINECKI,MF,1,0,0,167,3
33,HWANG Bo Kwan,MF,1,0,0,169,2
34,KHALID ISMAIL,MF,1,0,0,172,2
35,Gerhard RODAX,FW,1,0,0,174,2
36,Andrei ZYGMANTOVICH,DF,1,0,0,180,2
37,Tomas BROLIN,FW,1,0,0,214,3
38,Aleksandr ZAVAROV,MF,1,0,0,215,3
39,Ali Thani JUMAA,MF,1,0,0,225,3
40,Andeas OGRIS,FW,1,0,0,225,3
41,Uwe BEIN,MF,1,0,0,247,4
42,Bruce MURRAY,FW,1,0,0,249,3
43,Paul CALIGIURI,DF,1,0,0,250,3
44,Igor DOBROVOLSKYI,FW,1,0,0,251,3
45,Leo CLIJSTERS,DF,1,0,0,255,3
46,Oleg PROTASOV,FW,1,0,0,255,3
47,Niall QUINN,FW,1,0,0,269,4
48,Magdy ABDELGHANY,MF,1,1,0,270,3
49,Mo JOHNSTON,FW,1,1,0,270,3
50,Stuart McCALL,MF,1,0,0,270,3
51,Pedro MONZON,DF,1,0,0,278,4
52,JULIO SALINAS,FW,1,0,0,298,3
53,Alberto GORRIZ,DF,1,0,0,311,4
54,Emmanuel KUNDE,DF,1,1,0,313,4
55,Pierre LITTBARSKI,MF,1,0,0,330,5
56,Marc DE GRIJSE,FW,1,0,0,334,4
57,Jan CEULEMANS,FW,1,0,0,345,4
58,Juan CAYASSO,FW,1,0,0,348,4
59,Lubos KUBIK,MF,1,0,0,350,4
60,Ronald KOEMAN,DF,1,1,0,360,4
61,Roger FLORES,DF,1,0,0,360,4
62,Ruud GULLIT,MF,1,0,0,360,4
63,Ronald GONZALEZ,DF,1,0,0,360,4
64,Freddy RINCON,FW,1,0,0,368,4
65,Michel DE WOLF,DF,1,0,0,390,4
66,Enzo SCIFO,MF,1,0,0,390,4
67,Carlos VALDERRAMA,MF,1,0,0,390,4
68,Safet SUSIC,MF,1,0,0,416,5
69,Pedro TROGLIO,MF,1,0,0,438,6
70,Ivan HASEK,MF,1,0,0,450,5
71,Kevin SHEEDY,MF,1,0,0,452,5
72,Francois OMAM-BIYIK,FW,1,0,0,510,5
73,Giuseppe GIANNINI,MF,1,0,0,585,7
74,Mark WRIGHT,DF,1,0,0,612,6
75,Jorge BURRUCHAGA,MF,1,0,0,623,7
1,Gary LINEKER,FW,6,0,0,446,5
2,Emilio BUTRAGUENO,FW,5,1,0,435,5
3,CARECA,FW,5,1,0,480,5
4,Diego MARADONA,MF,5,0,0,630,7
5,Igor BELANOV,FW,4,2,0,312,4
6,Alessandro ALTOBELLI,FW,4,1,0,360,4
7,Preben ELKJAER LARSEN,FW,4,0,0,360,4
8,Jorge VALDANO,FW,4,0,0,630,7
9,Jesper OLSEN,MF,3,2,0,231,4
10,Rudi VOELLER,FW,3,0,0,421,6
11,Nico CLAESEN,FW,3,1,0,660,7
12,Jan CEULEMANS,MF,3,0,0,720,7
13,Abdelrazzak KHAIRI,MF,2,0,0,272,4
14,JOSIMAR,DF,2,0,0,300,3
15,Ramon Maria CALDERE,MF,2,0,0,336,4
16,Jean-Pierre PAPIN,FW,2,0,0,347,4
17,Julio Cesar ROMERO,MF,2,0,0,360,4
18,Roberto CABANAS,FW,2,0,0,360,4
19,SOCRATES,MF,2,1,0,437,5
20,Fernando QUIRARTE,DF,2,0,0,480,5
21,Yannick STOPYRA,FW,2,0,0,481,6
22,Michel PLATINI,MF,2,0,0,565,6
23,Jorge BURRUCHAGA,MF,2,0,0,610,7
24,Klaus ALLOFS,FW,2,0,0,615,7
25,Enzo SCIFO,MF,2,0,0,641,7
26,KIM Jong Boo,FW,1,0,0,65,2
27,Erwin VANDENBERGH,FW,1,0,0,66,1
28,John ERIKSEN,FW,1,0,0,75,2
29,Oleg BLOKHIN,FW,1,0,0,94,2
30,Bernard GENGHINI,MF,1,0,0,120,1
31,Juan Antonio SENOR,MF,1,0,0,122,4
32,Djamel ZIDANE,MF,1,0,0,139,3
33,Antonio ALZAMENDI,FW,1,0,0,143,3
34,ELOY,FW,1,0,0,147,3
35,Pedro PASCULLI,FW,1,0,0,164,2
36,Jean-Marc FERRERI,MF,1,0,0,180,4
37,CHOI Soon Ho,MF,1,0,0,180,2
38,Sergei RODIONOV,FW,1,0,0,181,4
39,Colin CLARKE,FW,1,0,0,189,3
40,DIAMANTINO,FW,1,0,0,193,3
41,Pavel YAKOVENKO,MF,1,0,0,219,3
42,Norman WHITESIDE,FW,1,0,0,238,3
43,Luis FLORES,FW,1,0,0,246,3
44,Aleksandr ZAVAROV,MF,1,0,0,248,4
45,Peter BEARDSLEY,FW,1,0,0,255,4
46,CARLOS MANUEL,MF,1,0,0,270,3
47,Ahmed RADHI,FW,1,0,0,270,3
48,Lajos DETARI,MF,1,0,0,270,3
49,Marton ESTERHAZY,FW,1,0,0,270,3
50,Gordon STRACHAN,MF,1,0,0,270,3
51,HUH Jungmoo,MF,1,0,0,270,3
52,PARK Chang Sun,FW,1,0,0,270,3
53,Nasko SIRAKOV,MF,1,0,0,282,4
54,Dominique ROCHETEAU,FW,1,0,0,288,4
55,Plamen GETOV,MF,1,0,0,297,4
56,Vasili RATS,MF,1,0,0,300,3
57,Ivan YAREMCHUK,MF,1,0,0,300,3
58,Wlodimierz SMOLAREK,FW,1,0,0,344,4
59,Karl-Heinz RUMMENIGGE,FW,1,0,0,348,7
60,Michael LAUDRUP,MF,1,0,0,351,4
61,Enzo FRANCESCOLI,MF,1,1,0,354,4
62,GOIKO,DF,1,1,0,360,4
63,Abdelkarim KRIMAU,FW,1,0,0,360,4
64,Soren LERBY,MF,1,0,0,360,4
65,JULIO SALINAS,FW,1,0,0,366,5
66,Serguei ALEINIKOV,MF,1,0,0,390,4
67,Hugo SÁNCHEZ,FW,1,0,0,390,4
68,Andreas BREHME,DF,1,0,0,435,5
69,EDINHO,DF,1,0,0,480,5
70,Manuel NEGRETE,MF,1,0,0,480,5
71,Raul SERVIN,DF,1,0,0,480,5
72,Daniel VEYT,FW,1,0,0,502,5
73,Luis FERNANDEZ,MF,1,0,0,553,6
74,Frank VERCAUTEREN,MF,1,0,0,585,6
75,Oscar RUGGERI,DF,1,0,0,630,7
76,Jose BROWN,DF,1,0,0,630,7
77,Stephane DEMOL,DF,1,0,0,633,7
78,Lothar MATTHAEUS,MF,1,0,0,640,7
79,Jean TIGANA,MF,1,0,0,653,7
80,Manuel AMOROS,DF,1,1,0,690,7
1,Paolo ROSSI,FW,6,0,0,575,7
2,Karl-Heinz RUMMENIGGE,FW,5,0,0,429,7
3,ZICO,MF,4,0,0,443,5
4,Zbigniew BONIEK,FW,4,0,0,540,6
5,Laszlo KISS,FW,3,0,0,165,3
6,FALCAO,MF,3,0,0,450,5
7,Gerry ARMSTRONG,FW,3,0,0,450,5
8,Alain GIRESSE,MF,3,0,0,570,6
9,Antonin PANENKA,MF,2,2,0,110,2
10,Laszlo FAZEKAS,FW,2,0,0,224,3
11,Salah ASSAD,FW,2,0,0,270,3
12,Gabor POLOSKEI,FW,2,0,0,270,3
13,Tibor NYILASI,MF,2,0,0,270,3
14,John WARK,MF,2,0,0,270,3
15,Bryan ROBSON,MF,2,0,0,315,4
16,Klaus FISCHER,FW,2,0,0,344,6
17,Dominique ROCHETEAU,FW,2,0,0,349,4
18,Daniel BERTONI,FW,2,0,0,401,5
19,SERGINHO,FW,2,0,0,404,5
20,Bernard GENGHINI,MF,2,0,0,405,5
21,Trevor FRANCIS,FW,2,0,0,437,5
22,Didier SIX,FW,2,0,0,443,7
23,Diego MARADONA,MF,2,0,0,445,5
24,Daniel PASSARELLA,DF,2,1,0,450,5
25,EDER,MF,2,0,0,450,5
26,SOCRATES,MF,2,0,0,450,5
27,Billy HAMILTON,FW,2,0,0,450,5
28,Walter SCHACHNER,FW,2,0,0,450,5
29,Michel PLATINI,MF,2,1,0,471,5
30,Pierre LITTBARSKI,MF,2,0,0,586,7
31,Marco TARDELLI,MF,2,0,0,615,7
32,Lazar SZENTES,FW,1,0,0,51,2
33,Eduardo LAING,FW,1,0,0,57,2
34,Joe JORDAN,FW,1,0,0,71,1
35,Uwe REINDERS,FW,1,0,0,74,2
36,Juan LETELIER,FW,1,0,0,77,2
37,Wlodzimierz CIOLEK,MF,1,0,0,107,4
38,Alessandro ALTOBELLI,FW,1,0,0,112,3
39,Kenny DALGLISH,FW,1,0,0,115,2
40,Alain COURIOL,FW,1,0,0,117,3
41,Tedj BENSAOULA,FW,1,0,0,141,3
42,Guillermo LA ROSA,FW,1,0,0,148,3
43,Andrzej SZARMACH,FW,1,0,0,155,2
44,Lakhdar BELLOUMI,MF,1,0,0,155,2
45,Jozsef TOTH,DF,1,0,0,180,2
46,Jozsef VARGA,DF,1,0,0,180,2
47,Miguel NEIRA,MF,1,1,0,185,3
48,David NAREY,DF,1,0,0,187,3
49,Ramon DIAZ,FW,1,0,0,189,4
50,Rene GIRARD,MF,1,0,0,195,5
51,Steve ARCHIBALD,FW,1,0,0,217,3
52,Khoren OGANESIAN,MF,1,0,0,225,3
53,Enrique SAURA,MF,1,0,0,229,4
54,Luis RAMIREZ,FW,1,0,0,244,3
55,Gustavo MOSCOSO,FW,1,0,0,249,3
56,Rabah MADJER,FW,1,0,0,268,3
57,Gregoire MBIDA,MF,1,0,0,270,3
58,Vladimir PETROVIC,MF,1,1,0,270,3
59,Steve SUMNER,MF,1,0,0,270,3
60,Abdulaziz AL BALUSHI,MF,1,0,0,270,3
61,Faisal AL DAKHIL,FW,1,0,0,270,3
62,Graeme SOUNESS,MF,1,0,0,270,3
63,Ivan GUDELJ,MF,1,0,0,270,3
64,Ruben DIAZ,DF,1,0,0,270,3
65,Steve WOODDIN,FW,1,0,0,270,3
66,Hector ZELAYA,MF,1,0,0,270,3
67,JUANITO,FW,1,1,0,270,4
68,John ROBERTSON,FW,1,0,0,270,3
69,LOPEZ UFARTE,FW,1,1,0,303,4
70,Horst HRUBESCH,FW,1,0,0,324,5
71,Andrei BAL,MF,1,0,0,357,4
72,Hans KRANKL,FW,1,0,0,360,4
73,Jesus ZAMORA,MF,1,0,0,360,4
74,Alex CZERNIATYNSKI,FW,1,0,0,383,5
75,Janusz KUPCEWICZ,DF,1,0,0,404,5
76,Reinhold HINTERMAIER,MF,1,0,0,405,5
77,Yuri GAVRILOV,MF,1,0,0,411,5
78,Ramaz SHENGELIA,FW,1,0,0,412,5
79,OSCAR,DF,1,0,0,435,5
80,Osvaldo ARDILES,MF,1,0,0,450,5
81,Oleg BLOKHIN,FW,1,0,0,450,5
82,Bruno PEZZEY,DF,1,0,0,450,5
83,JUNIOR,DF,1,0,0,450,5
84,Paul MARINER,FW,1,0,0,450,5
85,Aleksandre CHIVADZE,DF,1,0,0,450,5
86,Ludo COECK,MF,1,0,0,450,5
87,Sergei BALTACHA,DF,1,0,0,450,5
88,Erwin VANDENBERGH,FW,1,0,0,450,5
89,Wlodimierz SMOLAREK,FW,1,0,0,511,6
90,Gerard SOLER,FW,1,0,0,512,6
91,Francesco GRAZIANI,FW,1,0,0,527,7
92,Maxime BOSSIS,DF,1,0,0,570,6
93,Antonio CABRINI,DF,1,0,0,630,7
94,Bruno CONTI,MF,1,0,0,630,7
95,Grzegorz LATO,FW,1,0,0,630,7
96,Stefan MAJEWSKI,DF,1,0,0,630,7
97,Andrzej BUNCOL,MF,1,0,0,630,7
98,Paul BREITNER,MF,1,0,0,631,7
99,Marius TRESOR,DF,1,0,0,660,7
1,Mario KEMPES,FW,6,0,0,660,7
2,Teofilo CUBILLAS,FW,5,2,0,540,6
3,Rob RENSENBRINK,FW,5,4,0,660,7
4,Leopoldo LUQUE,FW,4,0,0,480,5
5,Hans KRANKL,FW,4,1,0,540,6
6,Karl-Heinz RUMMENIGGE,FW,3,0,0,450,5
7,ROBERTO DINAMITE,FW,3,0,0,450,5
8,Johnny REP,FW,3,0,0,484,6
9,DIRCEU,MF,3,0,0,544,7
10,Paolo ROSSI,FW,3,0,0,630,7
11,Archie GEMMILL,MF,2,1,0,195,3
12,NELINHO,DF,2,0,0,274,4
13,Dieter MUELLER,FW,2,0,0,330,4
14,Heinz FLOHE,MF,2,0,0,338,4
15,Ernie BRANDTS,DF,2,0,0,366,4
16,Zbigniew BONIEK,FW,2,0,0,381,6
17,Daniel BERTONI,FW,2,0,0,477,6
18,Grzegorz LATO,FW,2,0,0,540,6
19,Arie HAAN,MF,2,0,0,570,6
20,Roberto BETTEGA,FW,2,0,0,605,7
21,Andras TOTH,FW,1,1,0,45,1
22,DANI,FW,1,0,0,90,1
23,Dick NANNINGA,MF,1,0,0,90,3
24,Marc BERDOLL,FW,1,0,0,106,2
25,Hassan ROWSHAN,FW,1,0,0,112,3
26,Bernard LACOMBE,FW,1,0,0,164,2
27,Dominique ROCHETEAU,FW,1,0,0,165,2
28,Iraj DANAYFAR,MF,1,0,0,179,2
29,Christian LOPEZ,DF,1,0,0,180,2
30,Karoly CSAPO,MF,1,0,0,197,3
31,Walter SCHACHNER,FW,1,0,0,214,3
32,Michel PLATINI,MF,1,0,0,225,3
33,REINALDO,FW,1,0,0,225,3
34,ZICO,MF,1,1,0,229,6
35,Thomas SJOBERG,FW,1,0,0,246,3
36,Kenny DALGLISH,FW,1,0,0,254,3
37,Bernd HOELZENBEIN,FW,1,0,0,270,3
38,Joe JORDAN,FW,1,0,0,270,3
39,Arturo VAZQUEZ,DF,1,1,0,270,3
40,Sandor ZOMBORI,MF,1,0,0,270,3
41,Victor RANGEL,FW,1,0,0,270,3
42,Ruediger ABRAMCZIK,FW,1,0,0,270,3
43,Mokhtar DOUIEB,DF,1,0,0,270,3
44,Juan Manuel ASENSI,MF,1,0,0,270,3
45,Nejib GHOMMIDH,MF,1,0,0,270,3
46,Ali KAABI,DF,1,0,0,270,3
47,Renato ZACCARELLI,MF,1,0,0,287,5
48,Hansi MUELLER,MF,1,0,0,315,4
49,Rene HOUSEMAN,MF,1,0,0,330,6
50,Jose VELASQUEZ,MF,1,0,0,411,5
51,Andrzej SZARMACH,FW,1,0,0,420,5
52,Rene VAN DE KERKHOF,FW,1,0,0,520,7
53,Romeo BENETTI,MF,1,0,0,527,6
54,Cesar CUETO,MF,1,0,0,532,6
55,Kazimierz DEYNA,MF,1,0,0,540,6
56,Erich OBERMAYER,DF,1,0,0,540,6
57,Franco CAUSIO,MF,1,0,0,585,7
58,Daniel PASSARELLA,DF,1,1,0,660,7
59,Willy VAN DE KERKHOF,MF,1,0,0,660,7
60,Alberto TARANTINI,DF,1,0,0,660,7
1,Grzegorz LATO,FW,7,0,0,630,7
2,Andrzej SZARMACH,FW,5,0,0,460,6
3,Johan NEESKENS,MF,5,3,0,614,7
4,Ralf EDSTROM,FW,4,0,0,540,6
5,Gerd MUELLER,FW,4,0,0,630,7
6,Johnny REP,FW,4,0,0,630,7
7,Dusan BAJEVIC,FW,3,0,0,250,3
8,Rene HOUSEMAN,FW,3,0,0,328,6
9,Kazimierz DEYNA,MF,3,1,0,620,7
10,Johan CRUYFF,FW,3,0,0,630,7
11,Paul BREITNER,DF,3,1,0,630,7
12,RIVELINO,MF,3,0,0,630,7
13,Stanislav KARASI,FW,2,0,0,220,4
14,Hector YAZALDE,FW,2,0,0,258,3
15,Emmanuel SANON,FW,2,0,0,270,3
16,Joe JORDAN,FW,2,0,0,270,3
17,Joachim STREICH,FW,2,0,0,350,4
18,Roland SANDBERG,FW,2,0,0,540,6
19,Ivica SURJAK,FW,2,0,0,540,6
20,Wolfgang OVERATH,MF,2,0,0,594,7
21,JAIRZINHO,FW,2,0,0,630,7
22,Theo DE JONG,DF,1,0,0,73,4
23,Gianni RIVERA,MF,1,0,0,156,2
24,Pietro ANASTASI,FW,1,0,0,200,3
25,Bernd CULLMANN,DF,1,0,0,247,3
26,Miguel BRINDISI,MF,1,0,0,257,4
27,Peter LORIMER,FW,1,0,0,270,3
28,Romeo BENETTI,MF,1,0,0,270,3
29,Hristo BONEV,MF,1,0,0,270,3
30,Fabio CAPELLO,MF,1,0,0,270,3
31,Sergio AHUMADA,FW,1,0,0,270,3
32,Ricardo PAVONI,DF,1,0,0,270,3
33,Ilija PETKOVIC,MF,1,0,0,357,5
34,Rainer BONHOF,MF,1,0,0,360,4
35,Branko OBLAK,MF,1,0,0,370,5
36,Conny TORSTENSSON,FW,1,0,0,374,5
37,Dragan DZAJIC,FW,1,0,0,444,5
38,Carlos BABINGTON,FW,1,0,0,450,5
39,Vladislav BOGICEVIC,DF,1,0,0,450,5
40,Rob RENSENBRINK,FW,1,0,0,472,6
41,Juergen GRABOWSKI,FW,1,0,0,476,6
42,Martin HOFFMANN,FW,1,0,0,485,6
43,VALDOMIRO,FW,1,0,0,530,6
44,Ruben AYALA,FW,1,0,0,540,6
45,Josip KATALINSKI,DF,1,0,0,540,6
46,Ramon HEREDIA,DF,1,0,0,540,6
47,Juergen SPARWASSER,MF,1,0,0,540,6
48,Uli HOENESS,MF,1,1,0,557,7
49,Jerzy GORGON,DF,1,0,0,630,7
50,Ruud KROL,DF,1,0,0,630,7
1,Gerd MUELLER,FW,10,1,0,600,6
2,JAIRZINHO,FW,7,0,0,530,6
3,Teofilo CUBILLAS,FW,5,0,0,360,4
4,Anatoly BISHOVETS,FW,4,0,0,390,4
5,PELÉ (Edson Arantes do Nascimento),FW,4,0,0,540,6
6,RIVELINO,MF,3,0,0,450,5
7,Gigi RIVA,FW,3,0,0,570,6
8,Uwe SEELER,FW,3,0,0,600,6
9,Gianni RIVERA,MF,2,0,0,170,4
10,Raoul LAMBERT,FW,2,1,0,180,2
11,Florea DUMITRACHE,FW,2,1,0,252,3
12,Ladislav PETRAS,FW,2,0,0,270,3
13,Wilfried VAN MOER,MF,2,0,0,270,3
14,Javier VALDIVIA,FW,2,0,0,315,4
15,Alberto GALLARDO,FW,2,0,0,346,4
16,TOSTAO,MF,2,0,0,518,6
17,Roberto BONINSEGNA,FW,2,0,0,564,6
19,Juan Ignacio BASAGUREN,FW,1,0,0,59,2
20,Allan CLARKE,FW,1,1,0,90,1
21,Ove GRAHN,FW,1,0,0,96,2
22,Tom TURESSON,FW,1,0,0,122,2
23,Dinko DERMENDZHIEV,MF,1,0,0,135,2
24,Todor KOLEV,MF,1,0,0,180,2
25,Houmane JARIR,FW,1,0,0,180,2
26,Asparukh NIKODIMOV,MF,1,0,0,180,2
27,Alexandru NEAGU,MF,1,0,0,197,3
28,Hristo BONEV,MF,1,0,0,203,3
29,Mahjoub GHAZOUANI,FW,1,0,0,236,3
30,Jose Luis GONZALEZ,MF,1,0,0,248,3
31,Kakhi ASATIANI,MF,1,0,0,251,3
32,Emerich DEMBROVSCHI,MF,1,0,0,270,3
33,Mordechai SPIEGLER,FW,1,0,0,270,3
34,Geoff HURST,FW,1,0,0,300,3
35,GERSON,MF,1,0,0,309,4
36,Victor ESPARRAGO,MF,1,0,0,316,6
37,Vitali KHMELNITSKI,FW,1,0,0,324,4
38,Roberto CHALLE,MF,1,0,0,342,4
39,Martin PETERS,FW,1,0,0,351,4
40,Gustavo PENA,DF,1,1,0,360,4
41,Hector CHUMPITAZ,DF,1,0,0,360,4
42,Javier FRAGOSO,FW,1,0,0,360,4
43,Stan LIBUDA,FW,1,0,0,360,5
44,Alan MULLERY,MF,1,0,0,390,4
45,Karl-Heinz SCHNELLINGER,DF,1,0,0,465,5
46,Angelo DOMENGHINI,FW,1,0,0,475,6
47,Luis CUBILLA,MF,1,0,0,480,5
48,Franz BECKENBAUER,DF,1,0,0,492,5
49,CLODOALDO,MF,1,0,0,524,6
50,Ildo MANEIRO,MF,1,0,0,534,6
51,CARLOS ALBERTO,DF,1,0,0,540,6
52,Tarcisio BURGNICH,DF,1,0,0,570,6
53,Juan MUJICA,DF,1,0,0,570,6
54,Wolfgang OVERATH,MF,1,0,0,600,6
1,EUSEBIO (Eusebio da Silva Ferreira),FW,9,4,0,540,6
2,Helmut HALLER,MF,6,1,0,480,5
3,Valeriy PORKUYAN,FW,4,0,0,270,3
4,Geoff HURST,FW,4,0,0,300,3
5,Ferenc BENE,FW,4,0,0,360,4
6,Franz BECKENBAUER,MF,4,0,0,570,6
7,Luis ARTIME,FW,3,0,0,360,4
8,Eduard MALOFEYEV,FW,3,0,0,450,5
9,JOSE TORRES,FW,3,0,0,540,6
10,JOSE AUGUSTO,FW,3,0,0,540,6
11,Roger HUNT,FW,3,0,0,570,6
12,Bobby CHARLTON,FW,3,0,0,570,6
13,Ruben MARCOS,MF,2,1,0,270,3
14,Igor CHISLENKO,FW,2,0,0,314,4
15,PAK Seung Zin,FW,2,0,0,360,4
16,Kalman MESZOLY,DF,2,1,0,360,4
17,Uwe SEELER,FW,2,0,0,570,6
18,TOSTAO,MF,1,0,0,90,1
19,RILDO,DF,1,0,0,90,1
20,Hector DE BOURGOING,FW,1,1,0,90,1
21,Jose Maria FUSTE,FW,1,0,0,90,1
22,Rene-Pierre QUENTIN,FW,1,0,0,180,2
23,LI Dong Woon,DF,1,0,0,180,2
24,GARRINCHA,FW,1,0,0,180,2
25,PELÉ (Edson Arantes do Nascimento),FW,1,0,0,180,2
26,PIRRI,MF,1,0,0,180,2
27,AMANCIO,FW,1,0,0,180,2
28,YANG Seung Kook,FW,1,0,0,180,2
29,Paolo BARISON,FW,1,0,0,180,2
30,Sandro MAZZOLA,MF,1,0,0,270,3
31,Manuel SANCHIS,DF,1,0,0,270,3
32,Georgi ASPARUKHOV,FW,1,0,0,270,3
33,Enrique BORJA,FW,1,0,0,270,3
34,Gerard HAUSSER,FW,1,0,0,270,3
35,Ermindo ONEGA,FW,1,0,0,360,4
36,Janos FARKAS,FW,1,0,0,360,4
37,Julio CORTES,MF,1,0,0,360,4
38,Pedro ROCHA,FW,1,0,0,360,4
39,PAK Doo Ik,MF,1,0,0,360,4
40,Lothar EMMERICH,FW,1,0,0,390,4
41,Anatoli BANISHEVSKI,FW,1,0,0,450,5
42,Martin PETERS,MF,1,0,0,480,5
43,ANTONIO SIMOES,FW,1,0,0,540,6
44,Wolfgang WEBER,DF,1,0,0,570,6
45,Sigi HELD,FW,1,0,0,570,6
1,Florian ALBERT,FW,4,0,0,270,3
2,Valentin IVANOV,FW,4,0,0,360,4
3,GARRINCHA,FW,4,0,0,533,6
4,VAVA,FW,4,0,0,540,6
5,Leonel SANCHEZ,FW,4,1,0,540,6
6,Drazen JERKOVIC,FW,4,0,0,540,6
8,Lajos TICHY,FW,3,0,0,360,4
9,Milan GALIC,FW,3,0,0,540,6
10,Adolf SCHERER,FW,3,1,0,540,6
12,Giacomo BULGARELLI,FW,2,0,0,90,1
13,Igor CHISLENKO,FW,2,0,0,270,3
14,Ron FLOWERS,MF,2,2,0,360,4
15,Viktor PONEDELNIK,FW,2,0,0,360,4
16,Uwe SEELER,FW,2,0,0,360,4
17,Jorge TORO,MF,2,0,0,450,5
18,Jaime RAMIREZ,FW,2,0,0,540,6
19,Eladio ROJAS,MF,2,0,0,540,6
20,ADELARDO,FW,1,0,0,90,1
21,Vaclav MASEK,FW,1,0,0,90,1
22,Francisco ZULUAGA,DF,1,1,0,90,1
23,Angel Ruben CABRERA,MF,1,0,0,161,2
24,Hector FACUNDO,FW,1,0,0,180,2
25,Luis CUBILLA,FW,1,0,0,180,2
26,Aleksei MAMYKIN,FW,1,0,0,180,2
27,Antonio RADA,FW,1,0,0,180,2
28,Vojislav MELIC,FW,1,0,0,180,2
29,PELÉ (Edson Arantes do Nascimento),FW,1,0,0,180,2
30,Georgi SOKOLOV,FW,1,0,0,180,2
31,Jose SANFILIPPO,FW,1,0,0,180,2
