rank,name,role,goals,pens,assist,minutes,matches
22,Carlos TEVEZ,FW,2,0,0,324,4
23,LEE Chungyong,MF,2,0,0,359,4
24,LEE Jung Soo,DF,2,0,0,360,4
25,Andres INIESTA,MF,2,0,0,557,6
26,Mesut OEZIL,MF,1,0,3,586,7
27,Dirk KUYT,FW,1,0,3,587,7
28,Robin VAN PERSIE,FW,1,0,2,599,7
29,LIEDSON,FW,1,0,1,121,3
30,Nicklas BENDTNER,FW,1,0,1,242,3
31,Valter BIRSA,MF,1,0,1,261,3
32,Siphiwe TSHABALALA,MF,1,0,1,270,3
33,Dennis ROMMEDAHL,FW,1,0,1,270,3
34,Yaya TOURE,MF,1,0,1,270,3
35,Shane SMELTZ,FW,1,0,1,270,3
36,Daniele DE ROSSI,MF,1,0,1,270,3
37,RAUL MEIRELES,MF,1,0,1,329,4
38,CRISTIANO RONALDO,FW,1,0,1,360,4
39,Rafael MARQUEZ,DF,1,0,1,360,4
40,Steven GERRARD,MF,1,0,1,360,4
41,MAICON,DF,1,0,1,450,5
42,Edinson CAVANI,FW,1,0,1,523,6
43,Martin PALERMO,FW,1,0,0,10,1
44,Kamil KOPUNEK,MF,1,0,0,22,2
45,Fabio QUAGLIARELLA,FW,1,0,0,45,1
46,Klaas Jan HUNTELAAR,FW,1,0,0,48,4
47,ROMARIC,MF,1,0,0,98,3
48,Shinji OKAZAKI,FW,1,0,0,105,4
49,Cuauhtemoc BLANCO,FW,1,1,0,112,3
50,Marko PANTELIC,FW,1,0,0,113,2
51,Dimitrios SALPINGIDIS,FW,1,0,0,121,2
52,Rodrigo MILLAR,MF,1,0,0,125,3
53,Sulley MUNTARI,MF,1,0,0,134,4
54,HUGO ALMEIDA,FW,1,0,0,135,2
55,Mark GONZALEZ,FW,1,0,0,138,4
56,Tim CAHILL,FW,1,0,0,146,2
57,Florent MALOUDA,MF,1,0,0,150,3
58,Antonio DI NATALE,FW,1,0,0,153,3
59,Marcell JANSEN,MF,1,0,0,154,4
60,Salomon KALOU,FW,1,0,0,160,3
61,Zlatan LJUBIJANKIC,FW,1,0,0,173,3
62,Jermain DEFOE,FW,1,0,0,173,3
63,Jon Dahl TOMASSON,FW,1,0,0,176,2
64,Matt UPSON,DF,1,0,0,180,2
65,Didier DROGBA,FW,1,0,0,204,3
66,CACAU,FW,1,0,0,205,4
67,Gelson FERNANDES,MF,1,0,0,212,3
68,SIMAO,FW,1,0,0,217,4
69,Vasileios TOROSIDIS,DF,1,0,0,235,3
70,Milan JOVANOVIC,MF,1,0,0,245,3
71,Yakubu AYEGBENI,FW,1,1,0,250,3
