rank,team,goals for,goals against,penalties,matches
13,Yugoslavia,2,3,0,3
1,Brazil,22,6,0,6
2,Uruguay,15,5,0,4
3,Sweden,11,15,1,5
4,Spain,10,12,0,6
5,Yugoslavia,7,3,0,3
6,Chile,5,6,0,3
7,Italy,4,3,0,2
8,USA,4,8,1,3
9,Switzerland,4,6,0,3
10,Paraguay,2,4,0,2
11,Mexico,2,10,1,3
12,England,2,2,0,3
1,Hungary,15,5,0,4
2,Brazil,14,11,0,5
3,Sweden,11,9,0,3
4,Italy,11,5,1,4
5,Poland,5,6,1,1
6,Switzerland,5,5,0,3
7,Czechoslovakia,5,3,1,3
8,Cuba,5,12,0,3
9,France,4,4,0,2
10,Romania,4,5,0,2
11,Germany,3,5,0,2
12,Belgium,1,3,0,1
13,Norway,1,2,0,1
1,Italy,12,3,0,5
2,Germany,11,8,0,4
3,Czechoslovakia,9,6,0,4
4,Austria,7,7,0,4
5,Hungary,5,4,1,2
6,Switzerland,5,5,0,2
7,Sweden,4,4,0,2
8,Spain,4,3,1,3
9,Netherlands,2,3,0,1
10,Belgium,2,5,0,1
11,France,2,3,1,1
12,Egypt,2,4,0,1
13,Argentina,2,3,0,1
14,Brazil,1,3,0,1
15,USA,1,7,0,1
16,Romania,1,2,0,1
1,Argentina,18,9,0,5
2,Uruguay,15,3,0,4
3,Yugoslavia,7,7,0,3
4,USA,7,6,0,3
5,Brazil,5,2,0,2
6,Chile,5,3,0,3
7,Mexico,4,13,1,3
8,France,4,3,0,3
9,Romania,3,5,0,2
10,Paraguay,1,3,0,2
11,Peru,1,4,0,2
